Reference,Value,Pin,Pin name,Net,Intentional NC
J1,ECG_HARNESS,1,RA,RA_ELEC,
J1,ECG_HARNESS,2,LA,LA_ELEC,
J1,ECG_HARNESS,3,LL,LL_ELEC,
J1,ECG_HARNESS,4,RL,RL_ELEC,
J1,ECG_HARNESS,5,V5,V5_ELEC,
J1,ECG_HARNESS,6,SHIELD,CABLE_SHIELD,
D1,PESD5V0U1UL,1,1,RA_ELEC,
D1,PESD5V0U1UL,2,2,GND,
D2,PESD5V0U1UL,1,1,LA_ELEC,
D2,PESD5V0U1UL,2,2,GND,
D3,PESD5V0U1UL,1,1,LL_ELEC,
D3,PESD5V0U1UL,2,2,GND,
D4,PESD5V0U1UL,1,1,V5_ELEC,
D4,PESD5V0U1UL,2,2,GND,
D5,PESD5V0U1UL,1,1,RL_ELEC,
D5,PESD5V0U1UL,2,2,GND,
R1,47.5k 0.1%,1,1,RA_ELEC,
R1,47.5k 0.1%,2,2,RA_PROT,
R2,47.5k 0.1%,1,1,RA_PROT,
R2,47.5k 0.1%,2,2,ADS_CH1N,
R3,47.5k 0.1%,1,1,RA_PROT,
R3,47.5k 0.1%,2,2,ADS_CH2N,
C1,100p C0G,1,1,RA_PROT,
C1,100p C0G,2,2,GND,
C2,100p C0G,1,1,ADS_CH1N,
C2,100p C0G,2,2,GND,
C3,100p C0G,1,1,ADS_CH2N,
C3,100p C0G,2,2,GND,
R4,47.5k 0.1%,1,1,LA_ELEC,
R4,47.5k 0.1%,2,2,LA_PROT,
R5,47.5k 0.1%,1,1,LA_PROT,
R5,47.5k 0.1%,2,2,ADS_CH1P,
C4,100p C0G,1,1,LA_PROT,
C4,100p C0G,2,2,GND,
C5,100p C0G,1,1,ADS_CH1P,
C5,100p C0G,2,2,GND,
R6,47.5k 0.1%,1,1,LL_ELEC,
R6,47.5k 0.1%,2,2,LL_PROT,
R7,47.5k 0.1%,1,1,LL_PROT,
R7,47.5k 0.1%,2,2,ADS_CH2P,
C6,100p C0G,1,1,LL_PROT,
C6,100p C0G,2,2,GND,
C7,100p C0G,1,1,ADS_CH2P,
C7,100p C0G,2,2,GND,
R8,47.5k 0.1%,1,1,V5_ELEC,
R8,47.5k 0.1%,2,2,V5_PROT,
R9,47.5k 0.1%,1,1,V5_PROT,
R9,47.5k 0.1%,2,2,ADS_CH3P,
C8,100p C0G,1,1,V5_PROT,
C8,100p C0G,2,2,GND,
C9,100p C0G,1,1,ADS_CH3P,
C9,100p C0G,2,2,GND,
D6,BAS116,1,K,3V0_A,
D6,BAS116,2,A,RA_PROT,
D7,BAS116,1,K,RA_PROT,
D7,BAS116,2,A,GND,
D8,BAS116,1,K,3V0_A,
D8,BAS116,2,A,LA_PROT,
D9,BAS116,1,K,LA_PROT,
D9,BAS116,2,A,GND,
D10,BAS116,1,K,3V0_A,
D10,BAS116,2,A,LL_PROT,
D11,BAS116,1,K,LL_PROT,
D11,BAS116,2,A,GND,
D12,BAS116,1,K,3V0_A,
D12,BAS116,2,A,V5_PROT,
D13,BAS116,1,K,V5_PROT,
D13,BAS116,2,A,GND,
R10,162k 0.1%,1,1,ADS_RLDOUT,
R10,162k 0.1%,2,2,RLD_LIMIT_MID,
R11,162k 0.1%,1,1,RLD_LIMIT_MID,
