Designator,Mid X,Mid Y,Layer,Rotation
AE1,97.400000mm,5.200000mm,Top,0.000000
C1,12.300000mm,5.000000mm,Top,90.000000
C2,22.000000mm,3.800000mm,Top,90.000000
C3,22.000000mm,6.200000mm,Top,90.000000
C4,12.300000mm,10.000000mm,Top,90.000000
C5,22.000000mm,10.000000mm,Top,90.000000
C6,12.300000mm,15.000000mm,Top,90.000000
C7,22.000000mm,15.000000mm,Top,90.000000
C8,12.300000mm,20.000000mm,Top,90.000000
C9,22.000000mm,20.000000mm,Top,90.000000
C11,12.000000mm,28.300000mm,Top,0.000000
C12,37.500000mm,27.200000mm,Top,90.000000
C13,34.800000mm,27.200000mm,Top,90.000000
C14,24.000000mm,7.400000mm,Top,90.000000
C15,26.200000mm,7.400000mm,Top,90.000000
C16,28.400000mm,7.400000mm,Top,90.000000
C17,30.600000mm,7.400000mm,Top,90.000000
C18,32.800000mm,7.400000mm,Top,90.000000
C19,35.000000mm,6.500000mm,Top,90.000000
C20,23.000000mm,22.600000mm,Top,90.000000
C21,25.200000mm,22.600000mm,Top,90.000000
C22,27.400000mm,22.600000mm,Top,90.000000
C23,29.600000mm,22.600000mm,Top,90.000000
C24,31.800000mm,22.600000mm,Top,90.000000
C25,34.000000mm,22.600000mm,Top,90.000000
C28,50.500000mm,28.300000mm,Top,90.000000
C29,60.500000mm,28.300000mm,Top,90.000000
C30,62.500000mm,28.300000mm,Top,90.000000
C31,64.800000mm,28.300000mm,Top,90.000000
C32,67.000000mm,21.000000mm,Top,90.000000
C33,69.000000mm,21.000000mm,Top,90.000000
C34,71.000000mm,21.000000mm,Top,90.000000
C35,73.000000mm,21.000000mm,Top,90.000000
C36,75.000000mm,21.000000mm,Top,90.000000
C37,77.000000mm,21.000000mm,Top,90.000000
C38,31.500000mm,28.300000mm,Top,90.000000
C39,36.000000mm,2.400000mm,Top,90.000000
C40,38.500000mm,2.400000mm,Top,90.000000
C41,41.000000mm,2.400000mm,Top,90.000000
C42,58.500000mm,10.000000mm,Top,90.000000
C43,58.500000mm,12.000000mm,Top,90.000000
C44,42.000000mm,17.800000mm,Top,90.000000
C45,44.500000mm,23.000000mm,Top,90.000000
C46,48.500000mm,6.500000mm,Top,90.000000
C47,51.500000mm,6.500000mm,Top,90.000000
C48,50.000000mm,21.250000mm,Top,0.000000
C49,52.000000mm,24.500000mm,Top,90.000000
C50,55.800000mm,23.000000mm,Top,90.000000
C51,55.800000mm,15.300000mm,Top,90.000000
C52,45.500000mm,9.000000mm,Top,90.000000
C53,44.500000mm,16.500000mm,Top,90.000000
C54,58.000000mm,17.500000mm,Top,90.000000
C55,54.500000mm,9.000000mm,Top,90.000000
C56,44.500000mm,13.000000mm,Top,90.000000
C57,61.000000mm,17.000000mm,Top,90.000000
C58,65.500000mm,7.000000mm,Top,90.000000
C59,67.500000mm,7.000000mm,Top,90.000000
C60,69.500000mm,7.000000mm,Top,90.000000
C61,72.000000mm,9.000000mm,Top,90.000000
C62,79.000000mm,9.000000mm,Top,90.000000
C63,81.500000mm,9.000000mm,Top,90.000000
C64,83.500000mm,9.000000mm,Top,90.000000
D1,7.000000mm,5.000000mm,Top,90.000000
D2,7.000000mm,10.000000mm,Top,90.000000
D3,7.000000mm,15.000000mm,Top,90.000000
D4,7.000000mm,20.000000mm,Top,90.000000
